Date,Ticker,EventDate,Source,Purpose,Company,SourceUrl,FetchedAtIST
2025-02-14,ALLCARGO,2025-02-14,NSE corporates-financial-results quarterly,Third Quarter,Allcargo Logistics Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-01-23,ALLDIGI,2025-01-23,NSE corporates-financial-results quarterly,Third Quarter,Alldigi Tech Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-12,ALMONDZ,2025-02-12,NSE corporates-financial-results quarterly,Third Quarter,Almondz Global Securities Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-01-16,ALOKINDS,2025-01-16,NSE corporates-financial-results quarterly,Third Quarter,Alok Industries Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-14,ALPA,2025-02-14,NSE corporates-financial-results quarterly,Third Quarter,Alpa Laboratories Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-12,ALPHAGEO,2025-02-12,NSE corporates-financial-results quarterly,Third Quarter,Alphageo (India) Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-15,ALPSINDUS,2025-02-15,NSE corporates-financial-results quarterly,Third Quarter,Alps Industries Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-01-24,AMBER,2025-01-24,NSE corporates-financial-results quarterly,Third Quarter,Amber Enterprises India Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-15,AMBICAAGAR,2025-02-15,NSE corporates-financial-results quarterly,Third Quarter,Ambica Agarbathies & Aroma industries Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-11,AMBIKCO,2025-02-11,NSE corporates-financial-results quarterly,Third Quarter,Ambika Cotton Mills Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-01-29,AMBUJACEM,2025-01-29,NSE corporates-financial-results quarterly,Third Quarter,Ambuja Cements Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-14,AMDIND,2025-02-14,NSE corporates-financial-results quarterly,Third Quarter,AMD Industries Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-05,AMJLAND,2025-02-05,NSE corporates-financial-results quarterly,Third Quarter,Amj Land Holdings Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-14,AMNPLST,2025-02-14,NSE corporates-financial-results quarterly,Third Quarter,Amines & Plasticizers Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
